P_G,Q_G,P_L,Q_L,r_line,x_line,P_line,Q_line,V
"[0.003584670088920995, 0.20971119584605866]","[0.9210690028720797, 0.49547468521576515]",[0.38200858 0.3289672  0.43705044],[0.3875828  0.46216883 0.4494747 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.5427555852347723, 0.5100551324862863, -0.03267666110441983]","[-0.32117184481876393, -0.18355041445556708, 0.13762889344180293]","[1.0, 1.0000124639718977, 0.9999821420309978]"
"[0.49590135692922543, 0.3282041410583911]","[0.5600082266257731, 0.8054733317752821]",[0.13635314 0.22732716 0.33029839],[0.33789447 0.14720699 0.39173842],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.07167464599183404, 0.16189303294027013, 0.09022687405473273]","[-0.41306817033728294, -0.4133727379453376, -0.0003108712168689193]","[1.0, 1.0000943101303603, 1.0000831108003527]"
"[0.25758461898535184, 0.22471346604965978]","[0.7402809952101964, 0.42738162729626955]",[0.24750878 0.33327134 0.48095471],[0.31803728 0.44593627 0.31155889],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.38590114030876066, 0.4460819378934957, 0.0601889153559203]","[-0.23478596190352619, -0.17527126416916872, 0.059507748029121815]","[1.0, 1.000010466763635, 0.9999880664756132]"
"[0.19545625281387657, 0.15254960420802255]","[-0.22988655505849828, -0.713500887622202]",[0.41877958 0.17858885 0.10287128],[0.4993286  0.26198201 0.28014213],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.2222666646050584, 0.21134261292513656, -0.01092643825589919]","[0.6592595475040071, 0.8265620379497705, 0.16726997507387184]","[1.0, 0.9998074021403314, 0.9997669429385415]"
"[0.14949185533433199, 0.017733235568723728]","[0.6818738338474903, 0.5027153885111945]",[0.19534605 0.33792789 0.338256  ],[0.19696469 0.37229933 0.40366084],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.48250565960097447, 0.5265284835925286, 0.0440333678402815]","[-0.23932900215868358, -0.1691493586049546, 0.07017298249259528]","[1.0, 0.9999995303746232, 0.999976482949698]"
"[0.0019368647408984899, 0.1275591865669812]","[0.0068252228319620745, -0.5508460401377615]",[0.46768126 0.29219372 0.24664344],[0.2304686  0.29547524 0.18311904],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4832641269206306, 0.4261988097819085, -0.05704580947544945]","[0.4371978390804543, 0.5856609098700574, 0.14844165129763304]","[1.0, 0.9998302947137261, 0.9998003104772681]"
"[0.004112879823097948, 0.3292889223561075]","[0.012701898139524076, -0.8618604515408586]",[0.30380044 0.33911545 0.32300718],[0.13781654 0.43351513 0.39678568],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4713613146152511, 0.35759590169004696, -0.1137303269558791]","[0.7002872021480471, 0.9796449485957055, 0.2792958265754759]","[1.0, 0.9997660084944227, 0.9997103898216689]"
"[0.22201451428379773, 0.3725448950296323]","[0.8818340328603199, -0.8262802241197221]",[0.2907946  0.29047974 0.35213076],[0.30850551 0.27962255 0.15314542],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.28888364762838137, 0.259247407396515, -0.029592707326677577]","[-0.07494061934448837, 0.4523147195718593, 0.527248595672138]","[1.0, 0.9999826280272811, 0.9998545154284045]"
"[0.1263296520646207, 0.42651240670449264]","[-0.8726089727991422, 0.8578283956842967]",[0.37720766 0.19334327 0.21805736],[0.31173511 0.11314387 0.46031481],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.2252343333286717, 0.13339536879789193, -0.09182004791031433]","[0.5247628396596156, 0.06361867784335118, -0.4610715336865606]","[1.0, 0.9998406550415478, 0.999967421231941]"
"[0.1972586594434384, 0.05558343985558646]","[-0.5072543466204497, 0.6012893615668029]",[0.1987555  0.44131222 0.11030045],[0.16620654 0.17420998 0.46702922],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4309786745934616, 0.3678651106572488, -0.06311907581817501]","[0.4096498088915723, 0.13770082798100702, -0.2719029110795241]","[1.0, 0.9998437168120003, 0.9999195944484531]"
